,number,price,currency
815,2653,10.0,ETH
816,403,12.99,ETH
817,4053,7.0,ETH
818,554,17.5,ETH
819,7824,2.4,ETH
820,6837,3.4,WETH
821,8116,7.5,ETH
822,1857,15.99,ETH
823,7192,20.0,ETH
824,4624,13.5,WETH
825,5501,1.0,ETH
826,9859,9.0,ETH
827,5443,0.005,ETH
828,9417,12.75,ETH
829,7509,3.0,ETH
830,3973,14.4771,ETH
831,586,1.2,ETH
832,2714,6.9,ETH
833,4033,4.0,ETH
834,9379,0.29,ETH
835,5089,13.99,ETH
836,9777,1.15,ETH
837,1565,11.45,ETH
838,1351,1.99,ETH
839,1467,1.0,ETH
840,9365,0.069,ETH
841,3505,12.0,ETH
842,6738,12.0,ETH
843,8893,0.055,ETH
844,612,12.4,ETH
845,1114,6.0,ETH
846,5722,7.6,ETH
847,6076,6.27,ETH
848,2065,1.85,ETH
849,3085,8.0,ETH
850,7693,8.99,ETH
851,557,9.9,ETH
852,7613,17.0,WETH
853,3212,10.69,ETH
854,949,17.19,WETH
855,6932,1.0,ETH
856,9484,13.0,ETH
857,7788,9.5,ETH
858,2706,4.5,ETH
859,9631,0.79,ETH
860,9496,0.99,ETH
861,2688,8.0,WETH
862,7576,0.6,ETH
863,9512,0.02,ETH
864,5825,1.4,ETH
865,7983,0.98,ETH
866,127,6.5,WETH
867,7565,0.2,ETH
868,5476,11.9375,WETH
869,5485,16.8,ETH
870,4589,6.9691,WETH
871,3459,2.5,ETH
872,9403,8.69,ETH
873,2036,0.75,ETH
874,1323,7.5,ETH
875,267,1.4,ETH
876,9368,2.5,ETH
877,1381,0.19,ETH
878,5718,9.5,ETH
879,1891,0.2,ETH
880,3368,15.0,ETH
881,435,14.49,ETH
882,7463,1.82,ETH
883,1848,7.355,ETH
884,9541,0.02,ETH
885,3506,10.5,ETH
886,6070,1.99,ETH
887,8998,0.005,ETH
888,9747,0.02,ETH
889,8180,19.997,ETH
890,422,0.12,ETH
891,1715,1.0,ETH
892,1394,2.31,WETH
893,3503,0.07,ETH
894,8096,7.75,ETH
895,3554,13.999,ETH
896,1033,0.35,ETH
897,3980,16.3783,WETH
898,2758,1.9,WETH
899,4967,12.5,WETH
900,1101,11.5,ETH
901,6929,10.0,ETH
902,3028,2.5,ETH
903,4838,25.0,ETH
904,9490,13.9,ETH
905,1237,15.0,ETH
906,8579,5.99,ETH
907,7412,0.18,ETH
908,4431,1.5,WETH
909,6416,0.2,ETH
910,3381,6.99,ETH
911,6022,8.95,ETH
912,7450,0.75,ETH
913,6174,10.5,ETH
914,5112,2.0,ETH
915,5658,3.0,ETH
916,257,2.0,WETH
917,6703,0.095,ETH
918,6160,1.99,ETH
919,6388,4.75,ETH
920,6251,1.0,ETH
921,9159,11.75,ETH
922,8523,13.99,ETH
923,8758,0.0999,ETH
924,5887,11.0,ETH
925,5429,0.95,ETH
926,6234,0.05,WETH
927,957,30.0,ETH
928,6053,8.75,WETH
929,258,0.399,ETH
930,5936,17.5,ETH
931,1893,1.7,ETH
932,5706,12.0,ETH
933,3345,0.005,ETH
934,1973,0.02,ETH
935,1163,1.42,WETH
936,1252,3.0,ETH
937,1977,0.26,WETH
938,7776,0.125,WETH
939,9355,12.0,ETH
940,5029,1.75,ETH
941,9547,1.3,ETH
942,2279,11.0,WETH
943,282,5.0,ETH
944,2546,2.99,ETH
945,4783,8.97,ETH
946,4576,11.6,ETH
947,52,10.9,ETH
948,7701,9.98,ETH
949,6158,0.14,ETH
950,914,0.4,ETH
951,8885,0.1999,ETH
952,8354,0.0385,ETH
953,8376,1.0,ETH
954,9000,11.6,WETH
955,3020,0.4,ETH
956,3191,0.96,ETH
957,1242,12.0,ETH
958,7173,19.0,ETH
959,9810,0.049,ETH
960,8225,2.88,ETH
961,6248,0.0609,ETH
962,8019,0.1,ETH
963,6259,12.5,ETH
964,5233,1.0,ETH
965,6217,1.5,ETH
966,7802,16.0,ETH
967,180,11.88,ETH
968,2551,25.4,ETH
969,4412,1.88,ETH
970,8641,6.3,ETH
971,6513,12.5,ETH
972,6219,1.2,ETH
973,2358,0.55,ETH
974,5301,16.9035,WETH
975,1544,13.0,ETH
976,9743,3.25,ETH
977,1504,1.28,ETH
978,6330,1.9,ETH
979,5047,1.5,ETH
980,7333,0.39,ETH
981,9778,4.3204,ETH
982,1670,9.8,WETH
983,1247,14.0,ETH
984,9494,0.5,ETH
985,1335,8.0,ETH
986,938,13.9,ETH
987,4376,1.75,ETH
988,3434,0.02,ETH
989,8527,9.999,ETH
990,9203,6.69,ETH
991,8840,0.02,ETH
992,9712,13.99,ETH
993,2941,18.0,ETH
994,8967,7.5349,WETH
995,7460,1.69,ETH
996,2113,20.0,ETH
997,8763,10.2,WETH
998,7623,0.0987,ETH
999,2641,9.35,ETH
1000,6562,1.3,WETH
1001,3288,8.5,ETH
1002,9237,7.5,ETH
1003,3497,3.2,ETH
1004,4516,14.49,ETH
1005,1284,10.0,ETH
1006,4928,3.2,ETH
1007,4590,0.8,WETH
1008,6895,0.075,ETH
1009,8023,0.075,ETH
1010,3174,0.02,ETH
1011,3845,18.69,ETH
1012,8050,2.5,ETH
1013,5691,18.0,ETH
1014,8141,0.48,ETH
1015,8034,0.17,ETH
1016,7832,9.99,ETH
1017,683,13.0,WETH
1018,2826,0.02,ETH
1019,9176,10.5,ETH
1020,9906,9.2,ETH
1021,440,0.175,ETH
1022,1400,18.0,ETH
1023,1089,2.5,ETH
1024,2395,11.0,ETH
1025,1666,1.28,ETH
1026,6641,1.69,ETH
1027,1947,12.0,WETH
1028,2980,8.6,WETH
1029,5676,9.5,ETH
1030,8151,9.9,ETH
1031,9273,0.2,ETH
1032,6825,8.0,ETH
1033,7369,1.39,ETH
1034,9287,11.69,WETH
1035,9439,0.945,ETH
1036,3394,12.5,ETH
1037,4530,1.25,ETH
1038,2742,13.0,WETH
1039,1657,1.8,ETH
1040,2122,15.0,ETH
1041,2175,1.0,ETH
1042,2403,0.15,ETH
1043,4127,8.8,ETH
1044,3475,0.8005,WETH
1045,9797,0.152,ETH
1046,915,12.99,ETH
1047,1618,5.0,ETH
1048,3172,17.77,ETH
1049,8872,0.55,ETH
1050,2408,0.1,ETH
1051,6067,0.1876,ETH
1052,8353,18.0,ETH
1053,2482,0.02,ETH
1054,3560,12.037,ETH
1055,6169,2.5,ETH
1056,3247,0.18,ETH
1057,4229,10.99,ETH
1058,6667,0.1,ETH
1059,4185,2.0,ETH
1060,6482,0.08,ETH
1061,8363,8.8,WETH
1062,2245,0.28,ETH
1063,3939,5.0,ETH
1064,8340,7.569,ETH
1065,1474,2.35,ETH
1066,2832,2.57,ETH
1067,3046,18.145,WETH
1068,5751,7.5,ETH
1069,6865,2.33,ETH
1070,2585,15.28,WETH
