,cat_number,rank,face,face-score,shirt,shirt-score,body,tier,tier-score,hats,hats-score,total
4861,4862,6751,ninja red,5.8,hoodie black,42.6,blue cat skin,cool_2,5,hat white,5,48.4
4863,4864,5738,stunned,2.8,winter blue,46.6,blue cat skin,cool_2,5,wreath,9.5,58.9
4865,4866,5117,pixel,5.6,tshirt green,7.7,blue cat skin,cool_2,5,bucket hat white,54.8,68.1
4866,4867,7425,angry scar,6.3,tanktop orange,7.7,blue cat skin,cool_2,5,flower pink,8.4,22.4
4867,4868,5289,sunglasses cowboy,7.3,bandana purple,3.0,blue cat skin,cool_2,5,helm army,54.8,65.0
4868,4869,5268,unamused,2.0,tshirt white,53.8,blue cat skin,cool_2,5,flower blue,9.5,65.4
4869,4870,8356,wink,7.7,robe red,5.1,blue cat skin,cool_1,1.2,bucket hat green,3.0,16.9
4872,4873,9889,three eyes,1.6,bandana red,0.6,blue cat skin,cool_2,5,bucket hat tan,3.7,5.9
4873,4874,7894,glossy,9.6,bandana purple,3.0,blue cat skin,cool_1,1.2,mohawk purple,5.6,19.3
4874,4875,9208,grin,5.4,hoodie purple,6.4,blue cat skin,cool_1,1.2,hat white,5,13.0
4875,4876,2608,hearts,4.2,tanktop sailor black,42.6,blue cat skin,wild_2,4.2,pirate black,83.7,134.6
4876,4877,3795,beard tan,10.2,winter blue,46.6,blue cat skin,wild_1,1.9,sunhat tan,41.8,100.5
4877,4878,4457,sunglasses squad,9.1,ninja red,37.6,blue cat skin,wild_2,4.2,cowboy brown,36.9,87.7
4878,4879,3314,angry scar,6.3,tshirt white,53.8,blue cat skin,wild_2,4.2,mohawk red,44.5,108.8
4879,4880,492,sunglasses squad,9.1,gown black,123.9,blue cat skin,exotic_1,16.0,goggles seaweed,93.5,242.5
4880,4881,6207,happy cute,8.9,sweater pink,39.7,blue cat skin,cool_2,5,flower red,5.4,54.0
4881,4882,8018,sunglasses heart,3.0,tshirt green,7.7,blue cat skin,cool_2,5,beanie red,7.9,18.6
4882,4883,8158,uwu,5.0,buttondown blue flannel,6.1,blue cat skin,cool_1,1.2,candle,5.6,17.9
4883,4884,8613,face face,9.1,overalls blue,0,blue cat skin,cool_1,1.2,flower red,5.4,15.7
4884,4885,7986,pixel,5.6,buttondown tan,8.6,blue cat skin,cool_1,1.2,antlers,3.5,18.8
4885,4886,4070,shocked,7.5,tanktop sailor red,39.7,blue cat skin,wild_1,1.9,beret pink,46.7,95.7
4886,4887,4448,ninja red,5.8,viking brown,73.7,blue cat skin,wild_1,1.9,headband red,6.6,88.0
4887,4888,6848,angry cute,2.4,sweater pink,39.7,blue cat skin,cool_2,5,hat visor yellow,5.0,47.0
4888,4889,4669,rich,3.6,robe red,5.1,blue cat skin,wild_2,4.2,ninja black,69.0,82.0
4889,4890,7174,wink,7.7,tanktop white,3.9,blue cat skin,cool_1,1.2,beanie orange,12.8,25.6
4890,4891,5822,glasses funny,4.2,winter blue,46.6,blue cat skin,wild_1,1.9,beret green,5.4,58.0
4891,4892,3521,grin,5.4,winter red,38.9,blue cat skin,wild_1,1.9,mullet blonde,58.5,104.6
4892,4893,5656,shocked,7.5,sweater orange,8.0,blue cat skin,cool_2,5,mohawk red,44.5,60.0
4893,4894,172,mummy,0.7,robe king,118.3,blue cat skin,exotic_2,62.4,crown fire,126.6,308.1
4894,4895,7335,ninja black,7.5,robe red,5.1,blue cat skin,cool_1,1.2,wreath,9.5,23.3
4895,4896,5482,stunned,2.8,buttondown green,0.2,blue cat skin,cool_2,5,beanie blue,59.4,62.4
4896,4897,7003,tired,5.9,tshirt blue,32.5,blue cat skin,cool_2,5,hat visor yellow,5.0,43.4
4897,4898,8072,grin,5.4,buttondown black flannel,3.0,blue cat skin,cool_1,1.2,arrowhead,8.8,18.4
4898,4899,591,sunglasses pixel,5.8,cowboy black,84.5,blue cat skin,exotic_1,16.0,crown fire,126.6,232.9
4899,4900,2370,angry scar,6.3,sweater green chain,86.2,blue cat skin,classy_1,6.2,mohawk red,44.5,143.2
4900,4901,6316,mummy,0.7,winter blue,46.6,blue cat skin,wild_1,1.9,bucket hat tan,3.7,52.8
4901,4902,3703,sunglasses yellow,8.5,sweater green chain,86.2,blue cat skin,wild_1,1.9,beret green,5.4,101.9
4902,4903,3807,sunglasses cowboy,7.3,overalls red,84.5,blue cat skin,wild_1,1.9,headband red,6.6,100.2
4903,4904,733,sunglasses pixel,5.8,combat black,110.7,blue cat skin,exotic_1,16.0,top hat,88.4,220.9
4904,4905,479,sunglasses cowboy,7.3,gown black,123.9,blue cat skin,exotic_1,16.0,admiral,97.2,244.3
4905,4906,7682,pixel,5.6,tanktop pink,5.9,blue cat skin,cool_1,1.2,beanie red,7.9,20.5
4906,4907,4577,zombie,1.1,ninja red,37.6,blue cat skin,wild_2,4.2,sunhat tan,41.8,84.7
4907,4908,9892,zombie,1.1,bandana red,0.6,blue cat skin,cool_2,5,apple,4.0,5.8
4908,4909,7945,uwu,5.0,overalls blue,0,blue cat skin,cool_1,1.2,beanie orange,12.8,19.0
4909,4910,4399,beard brown,5.4,work blue,5.1,blue cat skin,wild_1,1.9,bow,76.6,88.9
4910,4911,6399,stunned,2.8,tanktop sailor red,39.7,blue cat skin,cool_2,5,flower blue,9.5,52.0
4911,4912,939,sunglasses cowboy,7.3,pirate red,97.4,blue cat skin,classy_1,6.2,astro,95.3,206.1
4913,4914,676,mummy,0.7,knight black,139.5,blue cat skin,classy_2,9.4,wreath flowers,75.2,224.8
4914,4915,5400,mummy,0.7,tshirt yellow,4.4,blue cat skin,wild_1,1.9,unicorn horn,56.6,63.5
4915,4916,9501,uwu,5.0,overalls blue,0,blue cat skin,cool_1,1.2,hat visor yellow,5.0,11.2
4916,4917,3317,ninja black,7.5,tanktop pink,5.9,blue cat skin,wild_1,1.9,goggles seaweed,93.5,108.7
4917,4918,7619,beard tan,10.2,tanktop white,3.9,blue cat skin,cool_1,1.2,mohawk purple,5.6,20.9
4918,4919,7690,beard brown,5.4,shirt yellow,4.4,blue cat skin,cool_1,1.2,flower blue,9.5,20.5
